Summary,Priority,Created,Resolved,Custom field (Category),Time took to resolve (Days)
[Degrade_SOxxx] Edit button is missing in user detail/ユーザ詳細で変更するボタンが表示されない ,Blocker,2025-05-23 17:56:00,2025-05-23 18:22:00,Bug,0
[CSV] Support package plan information in exported all approval records in CSV is not aligned to US/CSVに出力された優良法人申請レコードのサポパプラン情報がユーザストーリ通りでない,Critical,2025-06-03 21:09:00,2025-06-03 23:31:00,Misunderstanding,0
AD UAT 部署別回答数の表示不備/AD UAT Display Issue with Responses by Department,Critical,2025-06-11 15:44:00,2025-06-11 18:28:00,Bug,0
"SHyyy - News Creation - When creating two successive news items with the Top Page checkmark checked, the news creation is done without error / トップページのチェックマークがチェックされた状態で2つの連続したニュースを作成すると、ニュースの作成はエラーなしで行われます",Major,2025-05-28 11:18:00,2025-05-28 15:49:00,Bug,0
"Up to 30 characters can be entered for the store name and agent name on the editing screen, but up to 26 characters will be displayed on the form/営業店名、取扱者名は30文字まで入力、編集画面で入力できるが、26文字まで帳票に表示される",Critical,2025-04-09 15:16:00,2025-04-09 22:29:00,Bug,0
[Degrade]Voice Report images are not displayed in Owner Portal/Owner PortalでVoice Reportの画像が表示されない,Critical,2025-06-24 11:16:00,2025-06-24 19:41:00,Bug,0
"Survey brochure is generated as PDF in separate tab, not windows/アンケートチラシの出力が別ウィンドウではなく別タブに出力される",Critical,2025-04-01 21:20:00,2025-04-02 11:23:00,Bug,1
Survey input confirmation screen (SHyyy) There is a sentence without a line break at the beginning of the text/アンケート入力確認画面(SHyyy) 冒頭の文言に改行がない文章がある,Minor,2025-04-01 21:30:00,2025-04-02 13:57:00,Bug,1
CLONE - The wording of the Sales Portal Indicator-Status 1 is different. There is no wording in red under the button/セールスポータルIndicator・ステータス1の文言が異なる。ボタン下の赤字文言もない,Critical,2025-05-13 14:24:00,2025-05-14 07:36:00,,1
[Degrade]Survey Flyer creation was failed in SHyyy/アンケートチラシの作成がSHyyyで失敗する。,Critical,2025-06-25 14:40:00,2025-06-26 08:26:00,Bug,1
"[SHyyy, 140] When creating a survey for a customer of the HPM, the HPM division's handler and organization information are not displayed in default/旧統括団体の顧客でアンケートを作成時、HPM課の取扱者・組織情報が初期表示されない",Critical,2025-06-02 20:34:00,2025-06-03 14:27:00,Bug,1
SHyyy_アンケートURLが途切れて表示されている/SHyyy_Questionnaire URL is not fully displayed.,Major,2025-05-12 15:52:00,2025-05-13 10:48:00,Bug,1
No news item header is displayed on Owner Portal when a News with the checkmark checked is publiSHyyywithout an ending time / 終了時間なしでチェックマークがオンの状態でニュースが公開されると、オーナーポータルにニュースアイテムのヘッダーが表示されません,Major,2025-05-29 16:16:00,2025-05-30 17:26:00,Bug,1
Notification of【Application Form for Excellent Health Management Corporation completed】 is incorrect /健康経営優良法人申請書チェック完了のお知らせが正しくない,Major,2025-06-02 02:25:00,2025-06-03 09:05:00,,1
Release 7 additional text is not displayed in the header of the survey detail screen and description says status 1 to 7/Release 7の追加文章がアンケート詳細画面のヘッダに表示されていない。また説明にはステータス1～7とある,Major,2025-04-26 23:45:00,2025-04-28 11:55:00,,2
[Degrade_SHyyy] The link to the target details screen is not embeded in the notification of Survey completion/健康習慣アンケート終了のお知らせに対象詳細画面へのリンクが張られていない,Major,2025-06-17 21:32:00,2025-06-19 14:44:00,Bug,2
[EBP指摘] Cookieポップアップ右上のXボタンがマウスを重ねると、不要な枠が表示される／[EBP_headsup] The X button in the upper right corner of the cookie popup displays an unwanted frame when the mouse is hovered over it,Minor,2025-03-25 18:44:00,2025-03-27 11:55:00,Doubt,2
"When editing survey detail screen, perSOxxxn charge and department fields are not mandatory, but if they are blank after entry, error message is displayed and fields cannot be saved in that state/アンケート詳細画面編集時、担当者・担当部署名は入力必須ではないが、空白にするとエラーが表示されその状態で保存ができない",Critical,2025-04-19 15:39:00,2025-04-21 10:42:00,Bug,2
"[SHyyy/190] If we login with different user, which belongs to same branch with survey created users, after clicking 'Get latest information' button does not change handling perSOxxxンケートを作成したユーザーと同じ支店に所属する別のユーザーでログインした場合、最新情報取得ボタンをクリックしても、取扱者名が変更されません",Critical,2025-05-31 22:51:00,2025-06-02 23:01:00,Misunderstanding,2
ChannelUAT#1_HPM Approval Check Support Application List Inadequate screen layout/優良法人認定チェックサポート申請一覧の画面レイアウト不備,Major,2025-06-24 11:06:00,2025-06-26 16:40:00,Bug,2
[Degrade]One Point Advice The header of the list screen is not displayed.ワンポイントアドバイス一覧画面のヘッダーが表示されない,Critical,2025-06-24 11:21:00,2025-06-26 17:17:00,Bug,2
MO060 -　Content that is not included in the user story is visible in the email/ユーザーストーリーに含まれていない内容がメールに表示されています。,Minor,2025-04-25 20:51:00,2025-04-28 09:08:00,Misunderstanding Issues on ALJ side,3
No space between the wording and the annotations in the survey flyer/アンケートチラシ内の文言と注釈の間にスペースがない,Minor,2025-03-28 21:18:00,2025-03-31 12:03:00,Doubt,3
"[Degrade] Even if your survey status is closed, you can still access the Survey monkey response page/アンケートのステータスが回答終了になっても、Survey monkeyの回答ページにアクセスできる",Blocker,2025-03-28 16:39:00,2025-03-31 14:53:00,Bug,3
[CR]ChannelUAT#5_Company information and other information can be edited while the FB SHyyy is being created/FBシート作成中なのに、企業情報等の編集が可能,Critical,2025-06-23 16:06:00,2025-06-26 17:04:00,New requirement/Change request,3
ChannelUAT#4_Error in processing receipt of HPM approval support/優良法人申請サポートの受付処理が行えない,Blocker,2025-06-23 16:19:00,2025-06-26 18:11:00,Bug,3
"セールスポータル・アンケート一覧に遷移すると、グローバルメニューが3件のみ表示される／When moving to the sales portal - survey list, only 3 global menu items are displayed",Major,2025-03-21 18:23:00,2025-03-24 21:57:00,Request for environmental support,3
"旧統括団体顧客のアンケートでFBを作成すると、FB作成完了ステータスになっても作成完了のお知らせが出ない/When I create a FB on a survey for a former governing body customer, I don't get a notice that the creation is complete even though the FB creation is in the completed status",Critical,2025-05-27 15:59:00,2025-05-30 20:03:00,Bug,3
[Degrade_SHyyy] Pressing the back link in the news distribution settings list takes the user to the test environment/ニュース配信設定一覧の戻るリンクを押下すると、テスト環境に遷移する,Blocker,2025-05-23 10:45:00,2025-05-26 17:04:00,Bug,3
[SHyyy] [Degrade]Feedback publiSHyyytton remains inactive whether one or multiple files are selected/フィードバック公開ボタンがファイルを1件でも複数件選択しても、非活性のままである,Blocker,2025-06-02 09:59:00,2025-06-05 22:30:00,Bug,3
[Degrade] PubliSHyyytton is disabled in SHyyy screen/SHyyyの画面で公開するボタンが非活性になっている,Blocker,2025-06-02 19:22:00,2025-06-06 16:56:00,Bug,4
セールスポータルのアンケート詳細画面の業種と業種その他が離れて表示されている/Industry and Other are displayed far apart at survey detail page of Sales portal,Major,2025-05-15 06:56:00,2025-05-19 08:21:00,Misunderstanding,4
"When applying for HPM approval application from Cockpit, there is unnecessary space between the text at the end of the information email/Cockpitから優良法人申請時、ご案内メール末尾の文字に不要な空白がある",Minor,2025-06-13 23:56:00,2025-06-18 11:25:00,Bug,5
The multilingual flyer does not have a postal code symbol (〒) in the contact information and contact perSOxxxection/多言語版チラシのお問合せ先・担当者欄には郵便番号マーク〒がない,Minor,2025-04-11 20:50:00,2025-04-16 08:26:00,Doubt,5
テスト環境のaxa-hpログイン先が本番環境に向いている／Axa-hp login destination in the test environment heads for the production environment,Major,2025-03-21 18:14:00,2025-03-26 10:16:00,Request for environmental support,5
"Owner Portal Indicator1, 2 have 'Survey flyer download' button. The flyer is not outputting, and the user is redirected to the download screen/ オーナポータルのIndicator1, 2のボタンが「アンケートチラシダウンロード」になっている。チラシが出力されず、ダウンロード画面に遷移してしまう",Blocker,2025-03-27 11:56:00,2025-04-01 16:54:00,Bug,5
"After changing, Industry Other⇒Except other, create EngliSHyyyrsionYes ⇒ No, pre-entered Other industry or EngliSHyyyme is displayed in the Sales portal's survey detail/業種 その他以外⇒その他、英語版の作成 有⇒無を続けて切替ると、以前入力したその他業種または英語会社名﻿がSales portalのアンケート詳細に表示される",Critical,2025-04-23 12:02:00,2025-04-28 22:09:00,Bug,5
"When entering the name of the perSOxxxn charge, the right edge of the field is slightly cut off and difficult to see/取扱者名を入力時、フィールド右端が若干切れて表示されて、見えづらい",Minor,2025-04-09 14:38:00,2025-04-15 00:27:00,Bug,6
"ChannelUAT#6_""OwnerPortal"" tab title misstatement/OwnerPortalのタブタイトル誤記",Major,2025-06-24 11:57:00,2025-06-30 17:25:00,Bug,6
郵便番号の記号が外国語版問い合わせ欄に表示されていない/Post code  symbol isn't SHyyy on Contact Info of Multiple language flyer,Minor,2025-06-26 11:19:00,2025-07-03 18:16:00,Bug,7
MHzzz - Industrial Physician Program Accompanying Explanation Request form for CCI users is referenced in the FA email/産業医プログラム帯同説明依頼フォームのCCIユーザー向けリクエストフォームはFAメールに記載されています。,Critical,2025-04-29 02:22:00,2025-05-06 19:29:00,Bug,7
[Degrade] - SHyyy - Degrade on News creation component / ニュース作成コンポーネントのデグレ,Blocker,2025-05-29 14:10:00,2025-06-06 13:58:00,Bug,8
"[Degrade_SHyyy] LC advanced application, number of organizations is disappeared on the detail screen/LC事前申込、組織数が詳細画面から消えている",Critical,2025-06-17 21:21:00,2025-06-25 22:38:00,Bug,8
Numbers don't match on discription check filter & statistic chart / 定性記述検討フィルタリング結果と集計表の数字が合わない,Critical,2025-06-25 14:47:00,2025-07-03 16:37:00,Request for environmental support,8
[SHyyy] SOxxxsurveys have a feedback SHyyy re-creation button that becomes inactive after the feedback SHyyy is created/フィードバックシート再作成ボタンが、フィードバックシート作成後に非活性になるアンケートがある,Blocker,2025-05-27 14:29:00,2025-06-05 07:29:00,Bug,9
Application list is not fully extracted on CSV / 申請一覧がCSVで完全に抽出されない,Critical,2025-06-25 15:29:00,2025-07-04 09:47:00,Bug,9
SOxxx - News＆Quick Access - Top Header News is no longer displayed on the Owner Portal / トップヘッダーニュースはオーナーポータルに表示されなくなりました,Blocker,2025-05-28 16:08:00,2025-06-06 14:24:00,Bug,9
[SOxxx] 「外部サイトに遷移します」の補足文言が申込待ちの優良法人申請レコードに表示されない/Supplemental text 'You will be redirected to an external site' does not appear in the record of good standing applications awaiting application,Major,2025-05-28 23:35:00,2025-06-06 23:30:00,Bug,9
"SHyyy - News Creation - When modifying a News item with the Top Page checkmark checked, the News is not displayed in the Owner Portal - Top Page / トップページのチェックマークがチェックされたニュースを修正すると、そのニュースはオーナーポータルのトップページに表示されません",Critical,2025-05-28 10:20:00,2025-06-06 20:25:00,Bug,9
"When user is a CCI then in the SHyyy screen ""Apply feedback seminar"" button is not displayed/ユーザーがCCI場合SHyyy画面でフィードバックセミナーを設定するボタンが表示されない",Critical,2025-04-21 16:47:00,2025-05-01 17:15:00,Misunderstanding,10
"404 Page not found error displayed when clicking on the ""Confirm the contents"" button on the Enquiry input screen / 問合せ内容入力画面で内容を確認するボタンを押下すると404 Page not found error が表示されている",Blocker,2025-04-28 16:03:00,2025-05-08 16:45:00,Bug,10
SHyyy - News Creation - 'コピーして新規作成' and '公開する' buttons design zooms in and out after checking the '事業所サイトトップページヘッダーに表示する' checkbox / コピーして新規作成'と'公開する'ボタンのデザインが、'事業所サイトトップページヘッダーに表示する'チェックボックスをチェックした後にズームインおよびズームアウトします,Minor,2025-05-30 10:56:00,2025-06-10 09:01:00,Bug,11
"[SOxxx] Application and Status update date may be in French time (CET), SOxxxe date is different depends on time even if it was performed on the same day in Japan time/ご案内送信日とステータス更新日がフランス時間(CET)の可能性がある為、日本時間で同日に実施した場合でも時間帯で日付が異なっている",Critical,2025-05-23 08:27:00,2025-06-03 08:14:00,Bug,11
集計表の文言 定性記述が「訂正」記述になっている/wrong wording on HPM approval support(sales) statistics table,Major,2025-06-09 13:47:00,2025-06-20 13:53:00,New requirement/Change request,11
[Degrade] アンケート開始、終了予定日到来のセールスポータルお知らせで「詳細画面」が2度記載されている/“Details screen” is described twice in the sales portal notice when the survey is scheduled to begin and end,Major,2025-05-19 11:24:00,2025-05-30 17:02:00,Bug,11
"SOxxx -[お申し込みはこちら]のリンクにマウスをホバーすると、色が青から白に変わり、視認できなくなります/When you hover your mouse over [this link to apply], the color changes from blue to white, making it invisible.",Major,2025-05-29 02:14:00,2025-06-09 14:55:00,Bug,11
"In SHyyy screen - email which was set in Lead rep2 (CC) field is not displayed in the ""CC"" of the email. / SHyyy画面で リード担当者２ (CC)欄 に設定されているメールアドレスがメール(MHzzz)でCCの所に含まていない,。",Critical,2025-04-24 20:51:00,2025-05-06 17:35:00,Bug,12
"LCを選択後性別、年代 回答予定者数確認ではい/不明を押してSMEフォームからアンケートを作成した際、LCのアンケートが作成される/After selecting LC, gender and age, press 'Yes'/'Unknown' for the number of expected respondents to create a LC questionnaire from the SME form",Blocker,2025-05-08 12:36:00,2025-05-20 12:48:00,Bug,12
"SHyyyーAn error message displayed when selecting a survey ID with the same　""Expected survey completion date"" in the list of choices/SHyyyー候補リストでアンケ―ト完了予定日が同じのあるアンケートIDを選択する時エラーメッセージが表示されました",Critical,2025-04-24 02:40:00,2025-05-06 15:44:00,,12
PubliSHyyyserEmail' in #17 CSV ‘UC_Contents’ for Datalake has no value/Datalake向けの#17CSV 'UC_Contents'の'PubliSHyyyserEmail'に値がない,Minor,2025-06-17 22:34:00,2025-06-30 15:22:00,Bug,13
"MO060 Email content is easily readable when accessed through internal email addresses; however, it is not readable through external email addresses, the text appears very small/社内メールアドレスでアクセスするとメールの内容は簡単に読めますが、外部メールアドレスでは読めず、テキストが非常に小さく表示されます",Critical,2025-04-25 20:57:00,2025-05-08 16:12:00,Bug,13
[SOxxx] Item name (JP) is incorrect../項目名（日本語）が誤っている,Major,2025-06-10 17:37:00,2025-06-23 17:20:00,Bug,13
"SOxxx-News List - When there are no news items displayed in the Owner Portal - News List, the counter on the page still displays the value 1 / オーナーポータルのニュースリストにニュース項目が表示されていない場合、ページのカウンターはまだ値1を表示します",Major,2025-05-23 10:14:00,2025-06-05 15:47:00,Bug,13
SOxxx-News List - No information message is displayed in the Owner Portal's News List when there are no news items / ニュース項目がない場合、オーナーポータルのニュースリストに情報メッセージは表示されません,Major,2025-05-23 10:08:00,2025-06-05 15:46:00,Bug,13
"The mandatory check is not working on ""other industry field"" and ""EngliSHyyympany name"" /その他の業種や英語表記会社名の必須チェックが機能していない",Critical,2025-04-15 00:33:00,2025-04-28 21:50:00,Bug,13
"When I press the Get Latest Information button, the latest customer information is not reflected in the Sales Office/ Sales rep information field/最新情報を取得ボタンを押下時に、顧客の最新情報が営業店・取扱者情報欄に反映されない",Blocker,2025-04-09 17:02:00,2025-04-23 09:19:00,Bug,14
SHyyy - News Creation - When copying a News item that is already publiSHyyy only the new field '事業所サイト表示カテゴリー' is reset /  公開済みのニュース項目をコピーすると、新しいフィールド「事業所サイト表示カテゴリー」だけがリセットされます,Major,2025-06-02 15:56:00,2025-06-16 08:38:00,Bug,14
"For ”Notice of feedback SHyyy SHyyyng.” - notification doesn't have Title, Type & Category in the owner portal/オーナーポータルに「フィードバックシート共有のお知らせ」のタイトル、種別, カテゴリー はが表示さていない",Critical,2025-04-24 20:14:00,2025-05-08 16:27:00,Bug,14
 [SOxxx] No period in the text directly below the “Application Form Check → Application Process” button./「申請書チェック→申請への流れ」ボタン直下のテキストに句点がない,Major,2025-06-09 14:32:00,2025-06-23 17:20:00,Bug,14
"SHyyy - News Creation - No error message SHyyyd be displayed when ""事業所サイト表示カテゴリー"" is blank /「事業所サイト表示カテゴリー」が空白のとき、エラーメッセージは表示されるべきではありません",Critical,2025-05-23 17:14:00,2025-06-06 20:07:00,Bug,14
"SOxxx - News List - When a News item is created without an ending time, this news is not displayed in the Owner Portal News List / 了時刻なしでニュース項目が作成されると、そのニュースはオーナーポータルのニュースリストに表示されません",Critical,2025-05-30 11:38:00,2025-06-13 18:55:00,Bug,14
