Summary,Category
Submit button overlaps with footer text on the homepage.,UI (Web-based)
Dropdown menu does not expand correctly on Safari browser.,UI (Web-based)
Login page takes too long to load after input.,UI (Web-based)
Font size is inconsistent between desktop and mobile views.,UI (Web-based)
Navigation bar disappears when scrolling down.,UI (Web-based)
GET /user endpoint returns 500 error under high load.,API
API returns null for valid user token.,API
Response schema is missing the 'status' field in JSON output.,API
POST /login does not handle invalid credentials properly.,API
Rate limiting not applied to the /search endpoint.,API
Query takes 10 seconds to return 50 rows from user table.,Database
New users are not being saved due to constraint violation.,Database
SQL join returns duplicate rows for valid inputs.,Database
Database migration script failed due to syntax error.,Database
Stored procedure returns incorrect results for latest orders.,Database
Environment setup fails due to missing dependencies.,Others
Test script crashes when run with Python 3.11.,Others
Performance report generation is inconsistent across machines.,Others
Email alerts are not being sent from staging environment.,Others
Build pipeline fails intermittently on Jenkins.,Others
